GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Gene.name
ENSG00000187164,10,118640993,118886097,128,23,283625,5.5773,1.22E-08,KIAA1598 (SHTN1)
ENSG00000231200,2,22156208,22753977,12,5,300214,5.5126,1.77E-08,AC068490.2
ENSG00000067560,3,49396578,49449635,53,16,321482,5.4616,2.36E-08,RHOA
ENSG00000164077,3,49946295,49967606,25,7,340867,5.3591,4.18E-08,MON1A
ENSG00000196628,18,52889562,53303258,739,73,337447,5.0968,1.73E-07,TCF4
ENSG00000186792,3,50330262,50336899,5,3,216781,5.01,2.72E-07,HYAL3
ENSG00000104228,8,27142404,27168836,73,17,346863,4.9388,3.93E-07,TRIM35
ENSG00000120899,8,27168999,27316908,601,52,338994,4.8693,5.60E-07,PTK2B
ENSG00000188316,10,118609023,118671299,28,8,289162,4.8422,6.42E-07,ENO4
ENSG00000124508,6,26383324,26395102,147,27,298055,4.7695,9.23E-07,BTN2A2
ENSG00000114349,3,50229045,50233949,7,3,314936,4.7588,9.74E-07,GNAT1
ENSG00000252399,6,26353199,26353264,68,13,305313,4.7442,1.05E-06,RNU6-1259P
ENSG00000274290,6,26172287,26184883,96,17,321467,4.7069,1.26E-06,NA
ENSG00000253256,5,158636929,158675804,62,18,326571,4.6138,1.98E-06,CTB-11I22.1
ENSG00000224595,7,114054299,114059930,7,4,304313,4.5902,2.21E-06,AC073626.2
ENSG00000234474,10,118918167,118928570,76,19,337913,4.5797,2.33E-06,RP11-501J20.2
ENSG00000201816,18,53746625,53746825,21,6,320594,4.5461,2.73E-06,SNORA73
ENSG00000274267,6,26031878,26032288,96,22,317760,4.5355,2.87E-06,NA
ENSG00000207922,3,50210759,50210852,7,3,314576,4.4951,3.48E-06,MIR566
ENSG00000241804,3,59521589,59522141,12,3,356529,4.4702,3.91E-06,RP11-719N22.1
ENSG00000182264,19,49244145,49250166,17,2,338687,4.4007,5.39E-06,IZUMO1
ENSG00000001617,3,50192524,50226508,11,4,270319,4.3822,5.87E-06,SEMA3F
ENSG00000173421,3,49235861,49295537,116,23,326423,4.3793,5.95E-06,CCDC36
ENSG00000227456,21,35530024,35562545,35,11,343510,4.323,7.70E-06,LINC00310
ENSG00000231683,6,53426087,53481969,67,15,329727,4.2297,1.17E-05,RP1-27K12.2
ENSG00000281008,7,77763396,77764168,12,5,326259,4.2197,1.22E-05,NA
ENSG00000182952,6,26538633,26546482,73,13,333123,4.1968,1.35E-05,HMGN4
ENSG00000225302,10,118588272,118609716,15,7,309216,4.1939,1.37E-05,RP11-539I5.1
ENSG00000261353,6,26527291,26527632,9,2,354795,4.1905,1.39E-05,CTA-14H9.5
ENSG00000270289,2,181337864,181338146,9,2,323698,4.1849,1.43E-05,RP11-512G4.1
ENSG00000082898,2,61704984,61765418,93,18,345112,4.1716,1.51E-05,XPO1
ENSG00000183023,2,40324410,40838193,113,43,327819,4.1234,1.87E-05,SLC8A1
ENSG00000230454,3,50297735,50300790,1,1,69487,4.1064,2.01E-05,U73166.2
ENSG00000248858,8,93711970,93891730,105,27,332752,4.1052,2.02E-05,RP11-100L22.2
ENSG00000233587,2,22759351,22761160,12,5,326046,4.0917,2.14E-05,AC096570.1
ENSG00000005486,7,75508266,75518244,142,25,296582,4.0574,2.48E-05,RHBDD2
ENSG00000164620,5,141016517,141020644,31,13,311646,4.0486,2.58E-05,RELL2
ENSG00000207698,9,111808509,111808578,10,5,355785,4.0445,2.62E-05,MIR32
ENSG00000114316,3,49315264,49377504,74,18,329277,4.0431,2.64E-05,USP4
ENSG00000164068,3,49726932,49758960,90,22,334803,4.0422,2.65E-05,RNF123
ENSG00000243477,3,50333833,50336852,5,3,215843,4.0226,2.88E-05,NAT6
ENSG00000228223,6,26523678,26526807,61,16,329001,4.0112,3.02E-05,HCG11
ENSG00000157657,9,116638562,116818871,103,25,323795,4.001,3.15E-05,ZNF618
ENSG00000119328,9,111696461,111713024,16,5,356666,3.9743,3.53E-05,FAM206A
ENSG00000124557,6,26501449,26510650,91,21,307940,3.9644,3.68E-05,BTN1A1
ENSG00000128573,7,113727802,114333827,128,40,287991,3.9445,4.00E-05,FOXP2
ENSG00000026950,6,26402465,26415444,82,22,315830,3.942,4.04E-05,BTN3A1
