GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Gene.name
ENSG00000187164,10,118640993,118886097,119,26,306296,6.3159,1.34E-10,KIAA1598 (SHTN1)
ENSG00000148704,10,118888032,118897812,46,13,328284,5.6274,9.15E-09,VAX1
ENSG00000120903,8,27317278,27336813,168,40,340274,5.5014,1.88E-08,CHRNA2
ENSG00000188316,10,118609023,118671299,35,11,276004,5.2771,6.56E-08,ENO4
ENSG00000196628,18,52889562,53303258,966,114,334087,5.2071,9.59E-08,TCF4
ENSG00000218690,6,26272249,26272929,77,13,322609,5.1014,1.69E-07,HIST1H2APS4 (H2AC10P)
ENSG00000186792,3,50330262,50336899,5,3,216781,5.01,2.72E-07,HYAL3
ENSG00000104228,8,27142404,27168836,125,24,330905,4.9904,3.01E-07,TRIM35
ENSG00000176095,3,49761727,49823975,75,19,321077,4.9636,3.46E-07,IP6K1 (IHPK1)
ENSG00000114349,3,50229045,50233949,10,4,319905,4.8735,5.48E-07,GNAT1
ENSG00000158406,6,26281283,26285762,75,15,310935,4.8589,5.90E-07,HIST1H4H (H4C8)
ENSG00000220875,6,26322104,26322520,158,27,323850,4.8017,7.87E-07,HIST1H3PS1 (H3C9P)
ENSG00000235016,3,50153455,50193518,16,7,315763,4.6673,1.53E-06,RP11-493K19.3
ENSG00000142233,19,49164664,49176264,127,26,324480,4.6469,1.68E-06,NTN5
ENSG00000164068,3,49726932,49758960,82,18,343995,4.6315,1.82E-06,RNF123
ENSG00000224595,7,114054299,114059930,7,4,304313,4.5902,2.21E-06,AC073626.2
ENSG00000207922,3,50210759,50210852,7,3,314576,4.4951,3.48E-06,MIR566
ENSG00000003756,3,50126341,50156454,47,12,326826,4.4653,4.00E-06,RBM5
ENSG00000182952,6,26538633,26546482,12,4,330972,4.4018,5.37E-06,HMGN4
ENSG00000182264,19,49244145,49250166,17,2,338687,4.4007,5.39E-06,IZUMO1
ENSG00000184588,1,66258197,66840262,410,46,322448,4.3918,5.62E-06,PDE4B
ENSG00000105538,19,49223844,49243978,64,13,334126,4.2296,1.17E-05,RASIP1
ENSG00000281008,7,77763396,77764168,12,5,326259,4.2197,1.22E-05,NA
ENSG00000026950,6,26402465,26415444,155,26,316483,4.2073,1.29E-05,BTN3A1
ENSG00000261353,6,26527291,26527632,9,2,354795,4.1905,1.39E-05,CTA-14H9.5
ENSG00000114316,3,49315264,49377504,49,14,309166,4.1883,1.41E-05,USP4
ENSG00000270289,2,181337864,181338146,9,2,323698,4.1849,1.43E-05,RP11-512G4.1
ENSG00000186470,6,26365387,26378548,180,26,308293,4.1808,1.45E-05,BTN3A2
ENSG00000241804,3,59521589,59522141,27,9,315278,4.1699,1.52E-05,RP11-719N22.1
ENSG00000198283,11,58274648,58275578,96,17,350015,4.1624,1.57E-05,OR5B21
ENSG00000173402,3,49506136,49573051,149,22,341728,4.1493,1.67E-05,DAG1
ENSG00000230454,3,50297735,50300790,1,1,69487,4.1064,2.01E-05,U73166.2
ENSG00000233587,2,22759351,22761160,12,5,326046,4.0917,2.14E-05,AC096570.1
ENSG00000207698,9,111808509,111808578,10,5,355785,4.0445,2.62E-05,MIR32
ENSG00000163564,1,158901342,158946844,161,26,338228,4.0334,2.75E-05,PYHIN1
ENSG00000182670,21,38445571,38575413,90,10,352543,4.0309,2.78E-05,TTC3
ENSG00000128573,7,113727802,114333827,212,45,303997,4.0269,2.83E-05,FOXP2
ENSG00000243477,3,50333833,50336852,5,3,215843,4.0226,2.88E-05,NAT6
ENSG00000231683,6,53426087,53481969,47,12,343290,4.0047,3.10E-05,RP1-27K12.2
ENSG00000001617,3,50192524,50226508,20,8,263635,3.9892,3.32E-05,SEMA3F
ENSG00000254606,11,28538379,28540888,67,23,288587,3.9809,3.43E-05,RP11-22P4.2
ENSG00000119328,9,111696461,111713024,16,5,356666,3.9743,3.53E-05,FAM206A
ENSG00000237189,1,157257493,157257843,57,13,327929,3.964,3.69E-05,RP11-85G21.2
ENSG00000127952,7,75625656,75677321,161,23,288822,3.9558,3.81E-05,STYXL1
ENSG00000124557,6,26501449,26510650,78,19,344174,3.9456,3.98E-05,BTN1A1
ENSG00000213672,3,48711277,48723360,50,15,327919,3.9409,4.06E-05,NCKIPSD
ENSG00000253577,8,93777930,93788679,20,6,338064,3.9239,4.36E-05,RP11-100L22.3
ENSG00000267325,18,53443958,53448952,12,4,303417,3.9233,4.37E-05,RP11-397A16.2
ENSG00000230366,21,38580804,38594037,22,6,351954,3.9126,4.57E-05,DSCR9
ENSG00000112137,6,12717037,13290716,180,35,336593,3.9118,4.58E-05,PHACTR1
ENSG00000252399,6,26353199,26353264,86,19,307539,3.9076,4.66E-05,RNU6-1259P
ENSG00000130714,9,134378289,134399193,92,23,320944,3.9016,4.78E-05,POMT1
ENSG00000111700,12,20963660,21069845,182,37,327331,3.8968,4.87E-05,SLCO1B3
ENSG00000240083,5,87677774,87678542,6,3,356874,3.8966,4.88E-05,RPS3AP22
ENSG00000199289,6,26519579,26519686,10,3,297443,3.8923,4.96E-05,RNU6-502P
ENSG00000223152,1,66560144,66560229,33,12,347079,3.8852,5.11E-05,RNU4-88P
ENSG00000116044,2,178095033,178257425,38,14,322985,3.876,5.31E-05,NFE2L2
ENSG00000250306,5,87678765,87679077,7,2,357025,3.8683,5.48E-05,CTC-498M16.3
ENSG00000111801,6,26440700,26453643,204,21,300384,3.8429,6.08E-05,BTN3A3
ENSG00000178537,3,48894364,48936426,103,19,334574,3.8418,6.11E-05,SLC25A20
ENSG00000067560,3,49396578,49449635,43,10,335796,3.8371,6.22E-05,RHOA
ENSG00000004534,3,49977440,50114685,99,21,324826,3.8352,6.27E-05,RBM6
ENSG00000163565,1,158979682,159024945,212,16,324347,3.8199,6.67E-05,IFI16
ENSG00000255838,12,129428819,129429748,26,8,308971,3.8162,6.78E-05,RP11-753B7.2
ENSG00000233712,1,157606090,157610091,135,7,343897,3.8097,6.96E-05,RP4-801G22.3
ENSG00000139131,12,32899478,32908836,94,24,318502,3.7809,7.81E-05,YARS2
ENSG00000124549,6,26421619,26432611,104,16,309325,3.7728,8.07E-05,BTN2A3P
ENSG00000165868,10,118430703,118609252,368,55,315871,3.7608,8.47E-05,HSPA12A
ENSG00000232451,2,23240997,23421927,45,17,342512,3.7553,8.66E-05,AC016768.1
ENSG00000254391,5,160112358,160119896,6,3,344722,3.7492,8.87E-05,CTC-529G1.1
ENSG00000228677,21,38559967,38566227,7,2,355711,3.7467,8.96E-05,TTC3-AS1
ENSG00000228623,9,115759400,115812323,59,10,337837,3.7294,9.60E-05,ZNF883
ENSG00000199405,8,56815282,56815414,52,16,323019,3.7247,9.78E-05,SNORA1
ENSG00000249963,5,99332251,99333636,10,3,349611,3.7214,9.91E-05,EEF1A1P20
ENSG00000177479,3,48956254,49023815,110,18,334006,3.7213,9.91E-05,ARIH2
ENSG00000266776,6,31668806,31668868,6,4,306187,3.7153,0.00010149,MIR4646
ENSG00000160789,1,156052369,156109880,66,11,347776,3.7152,0.00010152,LMNA
ENSG00000112763,6,26458132,26476849,89,15,324015,3.715,0.00010161,BTN2A1
ENSG00000255266,11,57637794,57638043,6,3,355203,3.687,0.00011346,RP11-734C14.2
ENSG00000272948,21,38640085,38640798,3,2,356969,3.6855,0.00011413,AP001412.1
ENSG00000199591,3,47973298,47973404,2,1,356102,3.6747,0.00011907,Y_RNA
ENSG00000164061,3,49591922,49708978,92,20,337023,3.6638,0.00012424,BSN
ENSG00000132698,1,156030951,156040305,204,27,325237,3.663,0.00012464,RAB25
ENSG00000184022,1,248756131,248757069,53,10,315528,3.6623,0.00012496,OR2T10
ENSG00000238863,18,3424257,3424347,46,7,315750,3.6581,0.00012704,snoU13
ENSG00000271332,11,28166454,28166751,7,3,355111,3.6571,0.00012756,RP11-797J4.1
ENSG00000183396,3,48658192,48659288,39,9,347975,3.6564,0.00012788,TMEM89
ENSG00000264246,18,4430945,4431152,148,31,325554,3.6497,0.00013125,RP11-138C24.2
ENSG00000236980,3,49215065,49229291,51,13,339000,3.6297,0.00014187,C3orf84
ENSG00000185808,21,38431470,38445470,34,6,340086,3.6267,0.00014355,PIGP
ENSG00000100395,22,41601209,41627275,39,8,344486,3.6212,0.00014661,L3MBTL2
ENSG00000259091,14,38365265,38371577,296,38,342372,3.6206,0.00014695,LINC00517
ENSG00000196313,7,72349936,72421979,339,61,312028,3.6122,0.00015182,POM121
ENSG00000106771,9,111777432,111882225,27,8,335225,3.6029,0.00015732,TMEM245
ENSG00000168653,1,39491990,39500308,30,11,347617,3.6022,0.00015779,NDUFS5
ENSG00000233714,2,23570525,23574735,78,21,337865,3.5988,0.00015985,AC012506.2
ENSG00000173421,3,49235861,49295537,32,10,320535,3.5878,0.00016673,CCDC36
ENSG00000250740,4,106848217,106853879,13,2,317946,3.5741,0.00017575,RP11-710F7.2
ENSG00000211450,11,57508722,57510883,20,7,337335,3.5738,0.00017594,C11orf31
ENSG00000240589,17,42486429,42486726,3,2,352641,3.5545,0.00018938,RN7SL258P
ENSG00000123612,2,158383279,158485517,52,15,326232,3.5524,0.00019088,ACVR1C
ENSG00000121742,13,20796110,20806534,113,32,332776,3.5465,0.0001952,GJB6
ENSG00000267284,18,53388294,53455992,4,2,210726,3.5465,0.00019522,RP11-397A16.1
ENSG00000253608,8,49464127,49611069,35,10,277416,3.5447,0.00019654,RP11-770E5.1
ENSG00000263969,21,38587906,38588202,5,2,356359,3.5431,0.00019773,RN7SL678P
ENSG00000227295,1,158145640,158147545,13,2,333498,3.5391,0.00020078,ELL2P1
ENSG00000164180,5,87485450,87564674,124,28,304904,3.5239,0.00021261,TMEM161B
ENSG00000272855,1,77102562,77103024,18,5,341407,3.5123,0.00022213,RP5-1102E8.3
ENSG00000254749,11,57713070,57713886,11,4,355582,3.5065,0.00022702,OR5BD1P
ENSG00000144283,2,159313609,159539391,35,12,321469,3.495,0.00023701,PKP4
ENSG00000176731,8,86126311,86132650,6,2,297190,3.4892,0.00024224,C8orf59
ENSG00000230623,1,200302321,200447421,158,28,331852,3.4852,0.00024588,RP11-469A15.2
ENSG00000212289,11,27543152,27543273,8,2,348230,3.4849,0.00024618,RNA5SP339
ENSG00000149292,11,113185251,113254266,396,50,340612,3.4845,0.00024653,TTC12
ENSG00000173531,3,49721380,49726486,9,4,315527,3.4813,0.00024952,MST1
ENSG00000199392,18,75143519,75143645,17,3,353341,3.477,0.00025349,SNORA25
ENSG00000244730,3,49812718,49813047,8,3,356969,3.4642,0.00026587,RP13-1056D16.2
ENSG00000228566,10,65424424,65750328,38,12,353781,3.4639,0.0002662,RP11-170M17.1
ENSG00000256995,12,22852793,23327059,122,34,324247,3.4607,0.00026939,RP11-114G22.1
ENSG00000256134,12,16124824,16125543,17,1,357063,3.4556,0.00027451,RP11-674J14.3
ENSG00000179869,7,48211057,48687091,480,60,328962,3.4459,0.00028454,ABCA13
ENSG00000255582,14,22101992,22103096,20,6,246413,3.4359,0.00029533,OR10G2
ENSG00000110888,12,30862487,30907448,17,7,317406,3.4216,0.00031129,CAPRIN2
ENSG00000182111,7,57509883,57533252,36,6,344328,3.4191,0.0003141,ZNF716
ENSG00000213486,2,61937211,61938113,17,7,313534,3.4159,0.00031791,AC108039.1
ENSG00000216179,14,101530832,101530915,9,2,347207,3.3968,0.00034095,MIR541
ENSG00000271904,5,87729709,87794514,20,6,317399,3.3966,0.0003411,CTC-498M16.4
ENSG00000226979,6,31539831,31542101,19,8,241889,3.3834,0.000358,LTA
ENSG00000272020,3,125879126,125879288,10,3,346767,3.3816,0.00036028,U1
ENSG00000236935,11,64092522,64096976,40,12,340876,3.3802,0.00036216,AP003774.1
ENSG00000182010,10,63942794,64028466,101,30,326924,3.3787,0.00036413,RTKN2
ENSG00000196236,22,41253102,41328819,47,14,338057,3.3736,0.00037102,XPNPEP3
ENSG00000258487,14,44913950,44949821,62,19,323945,3.3718,0.00037336,RP11-99L13.1
ENSG00000213069,2,178062713,178063275,5,2,286345,3.3712,0.00037417,KRT8P40
ENSG00000172209,7,107110505,107116104,55,10,337445,3.3659,0.00038149,GPR22
ENSG00000234089,7,57277572,57289881,28,10,342823,3.3654,0.0003821,RP11-1217F2.15
ENSG00000235816,10,65187057,65187699,11,5,317124,3.3641,0.00038397,PRELID1P3
ENSG00000233716,2,63459588,63460712,6,3,307750,3.3599,0.00038981,AC074367.1
ENSG00000235120,3,49677916,49679202,6,2,355875,3.3594,0.00039063,BSN-AS1
ENSG00000267028,18,53119764,53150171,14,9,324787,3.3545,0.00039755,RP11-619L19.1
ENSG00000279708,15,89902072,89903608,11,3,353222,3.354,0.00039833,NA
ENSG00000234770,8,27417791,27446590,203,34,336550,3.3503,0.00040356,GULOP
ENSG00000255692,12,120137573,120138816,4,2,279869,3.3475,0.00040769,RP1-127H14.3
ENSG00000204091,6,40302693,40347626,235,42,304588,3.3297,0.00043474,TDRG1
ENSG00000250038,4,28363901,28404486,19,5,330215,3.3262,0.00044022,RP11-180C1.1
ENSG00000206701,8,85577994,85578100,294,10,309665,3.325,0.00044202,RNU6-1040P
ENSG00000253655,8,85892308,85892782,5,3,328884,3.3248,0.0004424,IGJP1
ENSG00000282849,1,200447148,200452732,200,28,343515,3.3229,0.0004455,NA
ENSG00000228939,1,243956507,243957702,7,3,305411,3.3133,0.00046106,AKT3-IT1
ENSG00000196357,19,36672962,36737159,32,10,324441,3.3109,0.00046506,ZNF565
ENSG00000113231,5,76506706,76725632,259,54,322927,3.3101,0.00046629,PDE8B
ENSG00000171681,12,14518566,14655869,120,29,306663,3.308,0.00046978,ATF7IP
ENSG00000109466,4,166128770,166244308,920,84,330584,3.3057,0.00047374,KLHL2
ENSG00000206857,6,120847440,120847546,35,9,329892,3.3037,0.00047708,RNU6-214P
ENSG00000272989,3,197232133,197233857,24,5,315708,3.3011,0.00048152,RP13-616I3.1
ENSG00000176697,11,27676440,27743605,185,36,335276,3.3003,0.00048283,BDNF
ENSG00000248915,4,107757655,107758758,105,28,318590,3.2993,0.00048458,ACTR6P1
ENSG00000198218,3,49067140,49131796,76,18,304518,3.2983,0.00048631,QRICH1
